phone_number_description,"Número de teléfono ",,,,"Phone Number "
get_access_code_btn,"Obtener código de acceso",,,,"Get Access Code"
health_data_title,"Datos de salud",,,,"Health Data"
location_description,Ubicación,,,,Location
physics_description,Básico,,,,Basic
health_description,Salud,,,,Health
health_conditions_description,"Condiciones de salud",,,,"Health Conditions"
location_explain,"Esta información es necesaria para proporcionarle estudios y ofertas relevantes. La información nunca se comparte ni se transmite.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
physics_explain,"Esta información es necesaria para proporcionarle estudios y ofertas relevantes. La información nunca se comparte ni se transmite.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
health_explain,"Esta información es necesaria para proporcionarle estudios y ofertas relevantes. La información nunca se comparte ni se transmite.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
store_only_on_device,"DATOS ALMACENADOS EN EL DISPOSITIVO SOLAMENTE. ¡Estos datos no se comparten ni se transmiten!",,,,"DATA STORED ON DEVICE ONLY. This data is not shared or transmitted!"
gender_question,"¿Cuál es tu género?",,,,"What's your gender?"
invalid_weight,"Peso inválido!",,,,"Invalid weight!"
invalid_height,"Altura inválida!",,,,"Invalid height!"
next_page_btn,"Siguiente página",,,,"Next Page"
profile_btn,Perfil,,,,Profile
done_btn,Hecho,,,,Done
transactions_description,"Actas ",,,,"Transactions "
invite_friend_sub_description_1,"Llegar a ",,,,"Get up to "
invite_friend_sub_description_2,"¡DHP por cada contacto que se une! ",,,,"DHP for every contact who joins! "
new_available_queries,"nuevo disponible: ",,,,"new available: "
you_have_no_queries_yet,"Aún no tienes consultas aceptadas ",,,,"You have no accepted queries yet "
do_some_fancy_questionnaire,"Las consultas se enumerarán aquí cuando participes en ellas ",,,,"Queries will be listed here when you participate in them "
title_show_all,"Mostrar todo ",,,,"Show all "
your_inbox_is_empty,"No hay elementos en la bandeja de entrada. ",,,,"No items in inbox. "
please_check_back_later,"Las consultas entrantes se enumerarán aquí. ",,,,"Incoming queries will be listed here. "
information_query_detail_description,"Información ",,,,"Information "
time_need,"Tiempo necesario: ",,,,"Time needed: "
available_until,"Disponible hasta: ",,,,"Available until: "
app_profile_setting,"Configuraciones ",,,,"Settings "
enter_your_pin_pin_page,"Introduce tu PIN ",,,,"Enter your PIN "
enter_your_back_up_phrase,"Ingrese la frase de respaldo: ",,,,"Enter Backup Phrase: "
my_wallet_is_long_hex_string,"Mi respaldo es una larga cadena hexadecimal ",,,,"My backup is a long hex string "
enter_pin_to_show_backup,"Ingrese el PIN de su aplicación para revelar la frase de contraseña",,,,"Enter your app PIN to reveal the passphrase"
enter_pin_to_show_private_key,"Ingrese el PIN de su aplicación para revelar la clave privada",,,,"Enter your app PIN to reveal the private Key"
pending_transactions,"Pendiente ",,,,"Pending "
help_agreement_btn,"Ayuda ",,,,"Help "
receive_token,"Recibe tokens DHP ",,,,"Receive DHP tokens "
purpose_query_detail,"Propósito: ",,,,"Purpose: "
redeem_highlights_new,"Destacar: ",,,,"Highlights: "
receive_token_title,"Recibir fichas ",,,,"Receive tokens "
address_description_receive_token_page,"Esta es tu dirección: ",,,,"This is your address: "
tap_copy_address_description,"recibir tokens DHP",,,,"to receive DHP tokens"
scan_qr_description,"Proporcione su dirección con un código QR personalizado: ",,,,"Provide your address with custom QR code: "
hex_back_up_phrase,"Frase de respaldo hexadecimal: ",,,,"Hex back up phrase: "
referral_link_description,"Este es su enlace de referencia: ",,,,"This is your referral link: "
referral_instruction_1,"Invita a tu contacto a Centiva",,,,"Invite your contact to Centiva"
referral_instruction_2,"Simplemente toque el enlace de arriba para copiarlo y pegar el enlace en un correo electrónico de invitación o mensaje instantáneo que puede enviar a su contacto",,,,"Just tap the link above to copy it and paste the link in an invitation email or instant message that you can send to your contact"
save_back_up_phrase_title,"Guardar frase de respaldo ",,,,"Save Backup Phrase "
save_mnemonic_description,"Guarde esta frase de respaldo mnemónica en una ubicación segura. Necesitará la frase de contraseña para recuperar su billetera si reinstala la aplicación. ",,,,"Please save this Mnemonic backup phrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app. "
save_passphrase_description,"Copie y guarde su frase de contraseña de respaldo en una ubicación segura. Necesitará la frase de contraseña para recuperar su billetera si reinstala la aplicación.",,,,"Please copy and save your backup passphrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app."
next_word_match,"Siguiente: Word Match ",,,,"Next: Word Match "
recipient,"Recipiente ",,,,"Recipient "
hit_available_amount,"Monto disponible: ",,,,"Available Amount: "
tx_fee,"Tarifa de transacción: ",,,,"Transaction fee: "
xem_available,"XEM disponible:",,,,"Available XEM:"
add_xem_to_your_wallet,"Agregue XEM a su billetera. Hacer clic ",,,,"Add XEM to your wallet. Click "
for_instruction,"para instrucciones ",,,,"for instructions. "
recipient_address_description,"Dirección del receptor: ",,,,"Recipient address: "
transaction_summary,"Resumen de Transacciones ",,,,"Transaction summary "
sent_description,"Expedido ",,,,"Sent "
ok_cool_btn,"¡Está bien! ",,,,Ok
detail_description,"Detalles: ",,,,"Details: "
message_description,"Mensaje: ",,,,"Message: "
transaction_id,"ID de transacción ",,,,"Transaction ID "
action_description,"Comportamiento: ",,,,"Actions: "
send_token_btn_tx_detail,"Enviar tokens DHP ",,,,"Send DHP tokens "
receive_token_btn_tx_detail,"Recibe tokens DHP ",,,,"Receive DHP tokens "
scan_code_btn_tx_detail,"Escanear código ",,,,"Scan Code "
redemption_info_title,"Información de canje ",,,,"Redemption Info "
access_code_description,"Código de acceso ",,,,"Access Code "
wallet_passphrase_title,"Frase de contraseña de billetera ",,,,"Wallet Passphrase "
warning_descript_1,"Actualización de seguridad disponible ",,,,"Security Update available "
warning_descript_2,"Crea tu nueva frase de respaldo mnemónica ahora. ",,,,"Create your new mnemonic backup phrase now. "
wallet_private_key_title,"Clave privada de billetera ",,,,"Wallet Private Key "
INVALID_ACCESS_CODE_TITLE,"Código de acceso inválido ",,,,"Invalid access code "
INVALID_ACCESS_CODE_CONTENT,"Asegúrese de ingresar el código de acceso correcto ",,,,"Please make sure you enter the correct access code "
transaction_confirm_title,"Confirmar ",,,,"Confirm "
button_negative_send,"No enviar ",,,,"Don't send "
request_camera_permission_title,"No puedo acceder a la cámara ",,,,"Cannot access the Camera "
request_camera_permission_sub_title,"Centiva no tiene permiso para acceder a la cámara. Otorgue el permiso para que pueda usar el escáner de código QR. <br> Vaya a 'Configuración' => Elija 'Centiva' => Permitir acceso 'Cámara' ",,,,"Centiva doesn't have permission to access the camera. Please grant the permission so you can use the QR code scanner.<br>Go to 'Settings' => Choose 'Centiva' => Allow access 'Camera' "
button_positive_permission,"Permitir el acceso ",,,,"Allow access "
birth_month_selector,"Mes de nacimiento ",,,,"Birth Month "
birth_year_selector,"Año de nacimiento ",,,,"Birth Year "
denied_query_btn,"Negado ",,,,"Denied "
continue_btn,"Seguir ",,,,"Continue "
copy_address_success,"Código de dirección copiado!",,,,"Address code copied!"
receive_tx_detail_title,Recibido,,,,Received
transaction_detail_redemption,(Redención),,,,(Redemption)
warning_create_wallet_back_up_1,"Copia de seguridad de billetera",,,,"Wallet Backup"
warning_create_wallet_back_up_2,"Crea tu respaldo de billetera ahora.",,,,"Create you wallet backup now."
words_not_match_message,"Las palabras no coinciden",,,,"Words do not match"
tap_here,"Pulse aquí",,,,"Tap here"
change_to_mnemonic_toast_notification,"¡Guardado exitosamente!",,,,"Saved successfully!"
current_pin_title,"Ingrese su PIN actual",,,,"Enter your current PIN"
new_pin_title,"Ingrese nuevo PIN",,,,"Enter new PIN"
set_pin,"Establecer PIN",,,,"Set PIN"
skip,Omitir,,,,Skip
change_pin,"Cambiar PIN",,,,"Change PIN"
generate_randomness,"Generando números aleatorios para la seguridad de la billetera",,,,"Generating random numbers for wallet security"
next,próximo,,,,Next
backup_phrase,"Frase de respaldo",,,,"Backup Phrase"
copy_phrase,"Copiar frase",,,,"Copy Phrase"
backup_phrase_description,"Aquí está tu frase de respaldo",,,,"Here is your backup phrase"
public_key,"Llave pública",,,,"Public Key"
public_key_description,"Utilizado internamente por la aplicación para generar transacciones y generar firmas digitales con fines de autenticación.",,,,"Used internally by the app to generate transactions and to generate digital signatures for the purposes of authentication."
private_key,"Llave privada",,,,"Private Key"
private_key_description,"Utilizado internamente por la aplicación para proteger y gastar tokens DHP en su billetera. Debe estar cuidadosamente vigilado.",,,,"Used internally by the app to secure and spend DHP tokens in your wallet. It should be carefully guarded."
wallet_address_description,"Su billetera ha sido creada. La dirección de su billetera se muestra a continuación. Se utiliza para identificar su billetera. Los tokens que reciba se enviarán a esta dirección.",,,,"Your wallet has been created. Your wallet address is shown below. It is used to identify your wallet. Tokens you receive will be sent to this address."
wallet_address,"Dirección de billetera",,,,"Wallet Address"
verify_phone_description,"Le enviaremos un código de acceso por SMS para la verificación del número de teléfono móvil.",,,,"We will send you an access code via SMS for mobile number verification."
your_mobile_number,"Tú número de teléfono",,,,"Your Mobile Number"
resend_sms_code,"Reenviar código SMS",,,,"Resend SMS Code"
get_sms_code,"Obtener el código de SMS",,,,"Get SMS Code"
verify_code_description,"Ingrese su código de verificación a continuación.",,,,"Enter your verification code below."
verify_code,"Código de verificación",,,,"Verify Code"
enter_sms_code,"Ingrese el código de SMS",,,,"Enter SMS Code"
set_pin_again_title,"Ingrese su PIN nuevamente",,,,"Enter your PIN again"
title_home,Casa,,,,Home
invalid_phone_number,"Numero de telefono invalido",,,,"Invalid phone number"
invalid_code,"Codigo invalido",,,,"Invalid code"
verify_phone_with_sms,"Verificar teléfono con SMS",,,,"Verify phone with SMS"
account_wallet_name,DHP,,,,DHP
verify_phone_number,"Verificar número de teléfono",,,,"Verify Phone Number"
create_wallet_title_1,"Crear billetera ",,,,"Create Wallet "
recover_wallet_title,"Recuperar billetera",,,,"Recover Wallet"
set_app_pin_title,"Configura el PIN de tu aplicación",,,,"Set your App PIN"
errormessage_confirm_pin_wrong,"El PIN de confirmación no coincide",,,,"Confirmation PIN does not match"
errormessage_current_pin_wrong,"PIN actual incorrecto",,,,"Current PIN incorrect"
errormessage_login_fail,"PIN incorrecto Inténtalo de nuevo.",,,,"Incorrect PIN. Please try again."
successmessage_change_pin_success,"¡Cambio de PIN exitoso!",,,,"PIN change successful!"
successmessage_set_pin_success,"¡Configuración de PIN exitosa!",,,,"PIN setup successful!"
successmessage_save_basic_health_data_success,"Guardado con éxito los datos básicos de salud!",,,,"Saved basic health data successfully!"
bottom_navigation_inbox,"Bandeja de entrada",,,,Inbox
bottom_navigation_queries,Consultas,,,,Queries
bottom_navigation_health_data,"Datos de salud",,,,"Health Data"
bottom_navigation_wallet,Billetera,,,,Wallet
current_balance,"Saldo actual",,,,"Current Balance"
show_private_key,"Mostrar clave privada",,,,"Show Private key"
change_app_pin,"Cambiar PIN de la aplicación",,,,"Change app PIN"
wallet_settings,"Configuraciones de billetera",,,,"Wallet settings"
male,Masculino,,,,Male
female,Hembra,,,,Female
month_of_birth,"Mes de nacimiento",,,,"Month of Birth"
year_of_birth,"Año de nacimiento",,,,"Year of Birth"
height,Altura,,,,Height
weight,Peso,,,,Weight
geographical_region,"Región geográfica",,,,"Geographical Region"
physical_activity,"Actividad física",,,,"Physical activity"
smoking,"De fumar",,,,Smoking
balance,Equilibrar,,,,Balance
copy_address,"Dirección de copia",,,,"Copy Address"
amount,Cantidad,,,,Amount
send_token,"Enviar DHP",,,,"Send DHP"
send_tokens_successfully,"DHP enviado con éxito",,,,"Sent DHP successfully"
confirm,Confirmar,,,,Confirm
send,Enviar,,,,Send
no,No,,,,No
all_tab_title,Todas,,,,All
all,Todas,,,,All
accepted,Aceptado,,,,Accepted
deny,Negar,,,,Deny
agree_and_continue,"Aceptar y continuar",,,,"Agree and Continue"
forgot_pin,"olvidaste tú pin? ",,,,"Forgot your PIN? "
close_forgot_pin,Cerca,,,,Close
forgot_pin_description,"Restablezca o reinstale esta aplicación y use la frase de respaldo para recuperar la billetera",,,,"Please reset or re-install this app and use backup phrase to recover wallet"
other,Otro,,,,Other
consent_content,"Gracias por su disposición a participar en la siguiente solicitud de datos. Al hacer clic en Aceptar, acepta que está dispuesto a proporcionar los datos solicitados y acepta que sus datos personales se procesen como se describe en la declaración de privacidad aplicable.",,,,"Thank you for your willingness to participate in the following data request. By clicking Agree, you consent that you are willing to provide the requested data and agree to your personal data being processed as described in the applicable privacy statement."
consent_title,"Su participación es apreciada",,,,"Your participation is appreciated"
survey_information,"Descargo de responsabilidad de datos",,,,"Data Disclaimer"
copy_success,Copiado,,,,Copied
days_ago," hace días",,,," days ago"
hours_ago," horas atras",,,," hours ago"
minutes_ago," hace minutos",,,," minutes ago"
seconds_ago," hace segundos",,,," seconds ago"
query_from,"desde ",,,,"from "
query_to,"a ",,,,"to "
language_title,Inglés,,,,English
receive,Recibir,,,,Receive
history,Historia,,,,History
scan_qr_code,"Escanear código QR",,,,"Scan QR code"
qr_code,"Código QR",,,,"QR code"
scan_qr_code_title,"Escanear código QR",,,,"Scan QR code"
message_read_QR_code,"Leer la dirección con éxito",,,,"Read address successfully"
scan_fail_title,"Escaneo fallido",,,,"Scan failed"
data_not_recognised_message,"Datos no reconocidos",,,,"Data not recognized"
scan_fail_button,Okay,,,,OK
permission_denied,"Permiso denegado",,,,Permission_denied
expiration_day_title,"Disponible hasta",,,,"Available until"
amount_offer,"Incentivo ofrecido",,,,"Incentive offered"
offers_card_title,Ofertas,,,,Offers
agreement_title,"Acuerdo del Usuario",,,,"User Agreement"
Thank_you_description,"Gracias por descargar la aplicación Centiva de HIT Foundation.",,,,"Thank you for downloading the Centiva app from HIT Foundation."
read_term_berfore_proceeding,"Lea este resumen de nuestros términos de servicio antes de continuar:",,,,"Please read this summary of our terms of service before proceeding:"
first_agreement,"Centiva NO es una aplicación médica y no pretende ofrecer asesoramiento médico. Si necesita atención médica, comuníquese con un profesional médico o con los servicios de emergencia.",,,,"Centiva is NOT a medical app and makes no claims to offer medical advice. If you are in need of medical care, please contact a medical professional or the emergency services."
second_agreement,"Debe tener al menos 13 años de edad o más para activar una cuenta Centiva.",,,,"You must be at least 13 years old or above to activate a Centiva account."
third_agreement,"Centiva no recibe, almacena ni comparte con terceros su información de salud.",,,,"Centiva does not receive, store, or share with any third party your health information."
fourth_agreement,"Sus datos básicos de salud y demográficos, así como los datos de su billetera, se cifran con su PIN y se almacenan en el almacenamiento local de su dispositivo móvil. Cualquier información que proporcione a los buscadores de su información de salud se transmite directamente desde su dispositivo al buscador.",,,,"Your basic health and demographic data, as well as wallet data, is encrypted with your PIN and stored on your mobile device’s local storage. Any data you provide to seekers of your health information is transmitted directly from your device to the seeker."
fifth_agreement,"Usted es el único responsable de la custodia de su información, incluidos su PIN y las copias de seguridad de su billetera.",,,,"You are solely responsible for the safekeeping of your information, including your PIN and wallet backups."
sixth_agreement,"Cuando proporciona datos solicitados por un buscador a través de esta plataforma, las políticas de privacidad y los términos de servicio del buscador son aplicables a los datos proporcionados, así como a los incentivos ofrecidos por el buscador.",,,,"When you provide data requested by a seeker through this platform, the seeker’s privacy policies and terms of service are applicable to provided data as well as the incentives offered by the seeker."
agree_description,"Al elegir ""Aceptar"" a continuación, usted acepta estar sujeto a nuestros términos de uso y política de privacidad (vinculado a continuación). Estos Términos de uso afectan sus derechos y obligaciones legales. Si no acepta estar obligado por todos estos Términos de uso, no acceda ni use el Servicio.",,,,"By choosing ""Agree"" below, you agree to be bound by our terms of use and privacy policy (linked below). These Terms of Use affect your legal rights and obligations. If you do not agree to be bound by all of these Terms of Use, do not access or use the Service."
term_of_use,"Términos de Uso",,,,"Terms of Use"
privacy_policy,"Política de privacidad",,,,"Privacy policy"
and_of_term_policy,Y,,,,And
decline_and_abort_registration,Disminución,,,,Decline
title_decline_and_abort_registration,"Debes aceptar los Términos y la Política de privacidad para continuar",,,,"You must agree the Terms and Pivacy Policy to continue"
message_decline_and_abort_resgistration,"¿Realmente quieres salir de la aplicación?",,,,"Do you really want to exit the application?"
not_enough_xem_warning,"Su billetera no tiene suficiente XEM para completar esta transacción.",,,,"Your wallet does not have enough XEM to complete this transaction."
please_get_more_xem,"Por favor, obtenga más XEM ",,,,"Please get more XEM "
here,aquí,,,,here
message_permission_accept,"Este acceso se usará solo para asegurar su registro en la plataforma Centiva. La aplicación no realiza ni recibe llamadas telefónicas.",,,,"This access will be used only to secure your registration on the Centiva platform. The app does not make or receive any telephone calls."
language,Idioma:,,,,Language:
app_settings,"Ajustes de Aplicacion",,,,"App Settings"
app_language,"Idioma de la aplicación",,,,"App language"
only_show_query_in_language,"Mostrar solo consultas en",,,,"Only show queries in"
faq,"Preguntas más frecuentes",,,,FAQ
feedback_to_email,"Enviar comentarios",,,,"Send feedback"
SENT,expedido,,,,sent
MESSAGE,mensaje,,,,message
TIME_TRANSACTION_DETAIL,Hora,,,,Time
MAIL_SHARE_ERROR_TITLE,"No cuenta de correo electrónico configurada",,,,"No Email Account Configured"
MAIL_SHARE_ERROR_SUB_TITLE,"Configure una cuenta de correo electrónico para enviar correos electrónicos.",,,,"Please set up an email account in order to send email."
SHARE_OPTION_TITLE,"Elige una aplicación",,,,"Pick an app"
STORE_BACKUP_PHRASE_BUTTON,"Guardar frase de respaldo",,,,"Store Backup Phrase"
PASTE_BACKUP_PHRASE,"Pegar frase de respaldo",,,,"Paste Backup Phrase"
REFERRAL_CARD_TITLE,"Invita a un contacto",,,,"Invite a Contact"
REFERRAL_DESCRIPTION,"Invita un contacto a Centiva",,,,"Invite a contact to Centiva"
REFERRAL_SUBDESCRIPTION,"y ayudar a hacer crecer la plataforma",,,,"and help grow the platform"
COPY_BUTTON,"Copiar enlace de referencia",,,,"Copy Referral Link"
QR_CODE_SHARE_DESCRIPTION,"O haga que su contacto escanee este código QR.",,,,"Or have your contact scan this QR code."
TOKEN_DESCRIPTION,Fichas,,,,Tokens
REDEEM_POPUP_TITLE,Redención,,,,Redemption
REDEEM_POPUP_MESSAGE,"El cupón será enviado a la ",,,,"The coupon will be sent to the "
REDEEM_SUCCESSFUL_MESSAGE,"Redención exitosa. Recibirá información de reclamo en breve.",,,,"Redemption successful. You will receive claim information shortly."
REDEEM_HIGLIGHTS,Destacar,,,,Highlights
REDEEM_TOKEN_REQUIRED_DESCRIPTION,"Se requieren tokens DHP",,,,"DHP Tokens required"
REDEEM_QUANTITY_DESCRIPTION,"Usted obtiene",,,,"You get"
REDEEM_BUTTON,"Canjear ahora",,,,"Redeem Now"
INFO,Informacion,,,,Info
USER_INFO_REDEMPTION,Redención,,,,Redemption
USER_INFO_REDEMPTION_BUTTON,Redimir,,,,Redeem
AVAILABLE_QUERIES_HOME_PAGE,Disponible,,,,Available
COPY_CONFIRMATION_DETAIL,"Copiar detalles de confirmación",,,,"Copy Confirmation Details"
COPYRIGHT,"Derechos de autor & # 9400; Fundación HIT 2020",,,,"Copyright &#9400; HIT Foundation 2020"
APP_VERSION,"Version de aplicacion",,,,"App version"
DEVICE_MODEL,"Modelo de dispositivo",,,,"Device model"
OS_VERSION,"versión del sistema operativo",,,,"OS version"
MANUFACTURER,Fabricante,,,,Manufacturer
COPY,Copiar,,,,Copy
ABOUT,"Acerca de",,,,About
OK,Okay,,,,Ok
REENTER_HEALTH_DATA_TITLE,"Los datos de salud están vacíos.",,,,"Health data is empty"
REENTER_HEALTH_DATA_MESSAGE,"No se pudieron leer los datos de salud después de la actualización de la aplicación, vuelva a ingresar",,,,"Health data could not be read following app update, please reenter"
VERIFY_PHONE_AGAIN_TITLE,"Verificación de SMS fallida",,,,"SMS verification failed"
VERIFY_PHONE_AGAIN_MESSAGE,"Para completar su registro, verifique nuevamente",,,,"To complete your registration, please verify again"
PLEASE_GET_MORE_HIT,"Por favor obtenga más DHP",,,,"Please get more DHP"
GET_SMS_CODE_FAIL_TITLE,"Error al recibir el código de SMS",,,,"Failed to receive SMS code"
GET_SMS_CODE_FAIL_CONTENT,"El formato del número de teléfono debe ser [+] [código de país] [número de suscriptor, incluido el código de área].",,,,"The format of the phone number must be [+][country code][subcriber number including area code]."
INCOMPLETE_BASIC_HEATH_TITLE,"Datos básicos de salud incompletos",,,,"Incomplete basic health data"
INCOMPLETE_BASIC_HEATH_CONTENT,"Mantenga su información de salud básica completa y actualizada para aprovechar al máximo la aplicación Centiva. Esta información se almacena solo en su dispositivo y se utiliza para seleccionar las solicitudes aplicables a usted. No se comparte con nadie.",,,,"Please keep your basic health information complete and up to date in order to get the most out of the Centiva app. This information is stored only on your device and used for selecting requests applicable to you. It is not shared with anyone."
REDEMPTION_DETAILS,"Detalles de canje",,,,"Redemption details"
SHOW_DETAILS_USER_DATA,"Mostrar detalles",,,,"Show Details"
REDEMPTION_ID_DESCRIPTION,"ID de canje:",,,,"Redemption ID:"
OFFER_PAGE_TITLE,"Detalles de la oferta",,,,"Offer Details"
BY_CHOOSING_AGREE,"Al elegir ""Aceptar"", acepta nuestro ",,,,"By choosing ""Agree"" you accept our "
VERIFY_PROVIDER,"Proveedor agregado",,,,"Provider Added"
PROVIDER_NAME,"Nombre del proveedor",,,,"Provider name"
PROVIDER_ADDR,"Dirección del proveedor",,,,"Provider address"
YOUR_ID,"Tu identificación",,,,"Your id"
VERIFY_PROVIDER_FAIL,"La información del proveedor no es válida.",,,,"The provider information is not valid."
VERIFY_PROVIDER_SUCCESS,"El proveedor se agregó con éxito.",,,,"The provider was added successfully."
VERIFY,Verificar,,,,Verify
PROVIDER_LIST,Proveedores,,,,Providers
VERIFY_PROVIDER_TITLE_FAIL,"Informacion invalida",,,,"Invalid information"
