backup_phrase_popup_negative_button,Abbrechen,,,,"No, go back"
recover_wallet,"Wallet wiederherstellen",,,,"Recover Wallet"
recover_wallet_success,"Wiederherstellung des Wallets erfolgreich",,,,"Wallet recovered successfully!"
pin_description,"Verwenden Sie einen PIN für diese App. ACHTUNG: Wenn Sie keinen PIN festlegen, hat jeder der Zugriff auf Ihr Smartphone hat, auch Zugriff auf die App und Ihr DHP Wallet!",,,,"Use the app without a PIN. WARNING: Anyone with access to your phone will be able to access this app and your DHP Wallet!"
set_pin_title,"App PIN festlegen",,,,"Set your App PIN "
step_1_2,"1 / 2",,,,"1 / 2 "
step_2_2,"2 / 2",,,,"2 / 2 "
set_app_pin_first_description_first,"Zuerst müssen wir ein paar Dinge einrichten.",,,,"First we need to set up a few things. "
set_app_pin_first_description_second,"Neuen PIN wählen",,,,"Let's start with setting your PIN."
enter_pin_again,"PIN erneut eingeben",,,,"Enter PIN Again"
enter_pin_here,"PIN hier eingeben",,,,"Enter PIN here"
enter_pin_here_again,"PIN hier erneut eingeben",,,,"Enter PIN here again"
pin_does_not_match,"PIN stimmt nicht überein. Versuchen Sie es erneut oder gehen Sie zurück, um einen anderen PIN einzustellen.",,,,"PIN does not match. Try again or go back to set a different PIN."
create_wallet_step_1_3,"1 / 3",,,,"1 / 3 "
create_wallet_step_2_3,"2 / 3",,,,"2 / 3 "
create_wallet_step_3_3,"3 / 3",,,,"3 / 3 "
creating_back_up_phrase,"Erstellen Ihrer Backup-Phrase",,,,"Creating your backup phrase "
backup_detail,"Zur Sicherung ihres Kontos erstellen wir eine lange Passphrase!",,,,"To secure your account, we will generate a long passphrase."
creating_randomness,"Zufälligkeit erzeugen... ",,,,"Generating randomness... "
tap_to_copy,"Zum Kopieren antippen!",,,,"Tap to copy! "
remind_save_backup_phrase,"Bitte speichern Sie sie an einem sicheren Ort. Sie benötigen die Passphrase zur Wiederherstellung Ihres Wallets, wenn Sie die App neu installieren. ",,,,"Please save it in a secure location. You will need the passphrase to recover your wallet if you reinstall the app "
created_wallet_description,"Ihr Wallet wurde erstellt. ",,,,"Your wallet has been created."
purpose_of_address,"Sie dient zur Identifizierung Ihres Wallets. DHP werden an diese Adresse gesendet.",,,,"It is used to identify your wallet. DHP tokens you receive will be sent to this address."
view_wallet_address_later,"Sie können Ihre Adresse später in Ihrem Wallet einsehen. ",,,,"You can view your address later in your wallet."
mnemonic_title,"Mnemotechnische Bestätigung ",,,,"Mnemonic Confirmation "
backup_phrase_mnemonic_description,Sicherungsphrase:,,,,"Backup phrase: "
select_all_words_mnemonic_anounce,"Bitte wählen Sie alle Wörter aus. ",,,,"Please select all words. "
words_select_mnemonic,"Bitte wählen Sie die folgenden Wörter aus, um Ihre Sicherungsphrase zu erstellen:",,,,"Please confirm your backup phrase by selecting words in the correct order "
verify_phone_number_title,"Telefonnummer verifizieren",,,,"Verify Phone Number "
country_description,Land,,,,"Country "
phone_number_description,Telefonnummer,,,,"Phone Number "
get_access_code_btn,"Zugangscode erhalten",,,,"Get Access Code"
health_data_title,Gesundheitsdaten,,,,"Health Data"
location_description,Standort,,,,Location
physics_description,Person,,,,Basic
health_description,Gesundheit,,,,Health
health_conditions_description,Gesundheitszustand,,,,"Health Conditions"
location_explain,"Diese Informationen werden benötigt, um Ihnen relevante Studien und Angebote zukommen zu lassen. Die Informationen werden niemals geteilt oder übermittelt.
",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
physics_explain,"Diese Informationen werden benötigt, um Ihnen relevante Studien und Angebote zukommen zu lassen. Die Informationen werden niemals geteilt oder übermittelt.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
health_explain,"Diese Informationen werden benötigt, um Ihnen relevante Studien und Angebote zukommen zu lassen. Die Informationen werden niemals geteilt oder übermittelt.",,,,"This information is needed to provide you with relevant studies and offers. The information is never shared or transmitted."
store_only_on_device,"DATEN NUR AUF DEM GERÄT GESPEICHERT. Diese Daten werden nicht geteilt oder übertragen!",,,,"DATA STORED ON DEVICE ONLY. This data is not shared or transmitted!"
gender_question,Geschlecht?,,,,"What's your gender?"
invalid_weight,"Unzulässiges Gewicht!",,,,"Invalid weight!"
invalid_height,"Unzulässige Körpergrösse!",,,,"Invalid height!"
next_page_btn,"Nächste Seite",,,,"Next Page"
profile_btn,Profil,,,,Profile
done_btn,Erledigt,,,,Done
transactions_description,Transaktionen,,,,"Transactions "
invite_friend_sub_description_1,"Bis zu",,,,"Get up to "
invite_friend_sub_description_2,"DHP für jeden Kontakt, der beitritt!",,,,"DHP for every contact who joins! "
new_available_queries,"neu verfügbar",,,,"new available: "
you_have_no_queries_yet,"Sie haben noch keine akzeptierten Anfragen",,,,"You have no accepted queries yet "
do_some_fancy_questionnaire,"Anfragen, an denen Sie teilgenommen haben",,,,"Queries will be listed here when you participate in them "
title_show_all,"Alle anzeigen",,,,"Show all "
your_inbox_is_empty,"Ihr Posteingang ist leer.",,,,"No items in inbox. "
please_check_back_later,"Liste von Anfragen",,,,"Incoming queries will be listed here. "
information_query_detail_description,Informationen,,,,"Information "
time_need,"Benötigte Zeit:",,,,"Time needed: "
available_until,"Verfügbar bis:",,,,"Available until: "
app_profile_setting,Einstellungen,,,,"Settings "
enter_your_pin_pin_page,"Geben Sie Ihren PIN ein",,,,"Enter your PIN "
enter_your_back_up_phrase,"Sicherungsphrase eingeben:",,,,"Enter Backup Phrase: "
my_wallet_is_long_hex_string,"Hexadezimale Zeichenkette zur Sicherung",,,,"My backup is a long hex string "
enter_pin_to_show_backup,"App-PIN eingeben, um Passphrase anzuzeigen",,,,"Enter your app PIN to reveal the passphrase"
enter_pin_to_show_private_key,"Geben Sie Ihren App-PIN ein, um den privaten Schlüssel anzuzeigen.",,,,"Enter your app PIN to reveal the private Key"
pending_transactions,Ausstehend,,,,"Pending "
help_agreement_btn,Hilfe,,,,"Help "
receive_token,"DHP erhalten",,,,"Receive DHP tokens "
purpose_query_detail,Zweck,,,,"Purpose: "
redeem_highlights_new,Höhepunkte:,,,,"Highlights: "
receive_token_title,"DHP erhalten",,,,"Receive tokens "
address_description_receive_token_page,"Ihre Adresse:",,,,"This is your address: "
tap_copy_address_description,"um zu erhalten",,,,"to receive DHP tokens"
scan_qr_description,"Adresse mit benutzerdefiniertem QR-Code:",,,,"Provide your address with custom QR code: "
hex_back_up_phrase,"Hexadezimale Sicherungsphrase:",,,,"Hex back up phrase: "
referral_link_description,"Ihr Empfehlungs-Link:",,,,"This is your referral link: "
referral_instruction_1,"Kontakt zu Centiva einladen und profitieren",,,,"Invite your contact to Centiva"
referral_instruction_2,"DHP erhalten sobald sich Ihr Kontakt registriert. Den Link antippen, kopieren und an Ihren Kontakt senden.",,,,"Just tap the link above to copy it and paste the link in an invitation email or instant message that you can send to your contact"
save_back_up_phrase_title,"Sicherungsphrase speichern",,,,"Save Backup Phrase "
save_mnemonic_description,"Bitte speichern Sie diese Passphrase an einem sicheren Ort. Diese benötigen Sie um Ihr Wallet bei einer Neuinstallation der App wiederherzustellen.",,,,"Please save this Mnemonic backup phrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app. "
save_passphrase_description,"Bitte speichern Sie diese Passphrase an einem sicheren Ort. Diese benötigen Sie um Ihr Wallet bei einer Neuinstallation der App wiederherzustellen.",,,,"Please copy and save your backup passphrase in a secure location. You will need the passphrase to recover your wallet if you reinstall the app."
next_word_match,"Nächster: Wort-Match",,,,"Next: Word Match "
recipient,Empfänger,,,,"Recipient "
hit_available_amount,"Verfügbarer Betrag:",,,,"Available Amount: "
tx_fee,Transaktionsgebühr:,,,,"Transaction fee: "
xem_available,"Verfügbare XEM:",,,,"Available XEM:"
add_xem_to_your_wallet,"Fügen Sie XEM zu Ihrem Wallet hinzu. Klicken Sie auf",,,,"Add XEM to your wallet. Click "
for_instruction,"für Instruktionen",,,,"for instructions. "
recipient_address_description,"Adresse des Empfängers:",,,,"Recipient address: "
transaction_summary,"Zusammenfassung der Transaktion",,,,"Transaction summary "
sent_description,Gesendet,,,,"Sent "
ok_cool_btn,"Ok, cool!",,,,Ok
detail_description,Details:,,,,"Details: "
message_description,Nachricht:,,,,"Message: "
transaction_id,Transaktions-ID,,,,"Transaction ID "
action_description,Aktionen:,,,,"Actions: "
send_token_btn_tx_detail,"DHP senden",,,,"Send DHP tokens "
receive_token_btn_tx_detail,"DHP empfangen",,,,"Receive DHP tokens "
scan_code_btn_tx_detail,"Code scannen",,,,"Scan Code "
redemption_info_title,"Informationen zur Einlösung",,,,"Redemption Info "
access_code_description,Zugangscode,,,,"Access Code "
wallet_passphrase_title,"Wallet PassPhrase",,,,"Wallet Passphrase "
warning_descript_1,"Sicherheits-Update verfügbar",,,,"Security Update available "
warning_descript_2,"Erstellen Sie jetzt Ihre neue Sicherungsphase.",,,,"Create your new mnemonic backup phrase now. "
wallet_private_key_title,"Wallet Privater Schlüssel",,,,"Wallet Private Key "
INVALID_ACCESS_CODE_TITLE,"Ungültiger Zugangscode",,,,"Invalid access code "
INVALID_ACCESS_CODE_CONTENT,"Stellen Sie sicher, dass Sie den korrekten Zugangscode eingeben",,,,"Please make sure you enter the correct access code "
transaction_confirm_title,Bestätigen,,,,"Confirm "
button_negative_send,"Nicht senden",,,,"Don't send "
request_camera_permission_title,"Kein Zugriff auf die Kamera möglich",,,,"Cannot access the Camera "
request_camera_permission_sub_title,"Centiva hat keine Zugriffsberechtigung für die Kamera. Geben Sie die Erlaubnis, um den QR-Scanner zu verwenden. <br> Gehen Sie zu 'Einstellung' => Wählen Sie 'Centiva' => Zugriff auf 'Kamera' erlauben",,,,"Centiva doesn't have permission to access the camera. Please grant the permission so you can use the QR code scanner.<br>Go to 'Settings' => Choose 'Centiva' => Allow access 'Camera' "
button_positive_permission,"Zugriff erlauben",,,,"Allow access "
birth_month_selector,Geburtsmonat,,,,"Birth Month "
birth_year_selector,Geburtsjahr,,,,"Birth Year "
denied_query_btn,Abgelehnt,,,,"Denied "
continue_btn,Fortfahren,,,,"Continue "
copy_address_success,"Adresscode kopiert!",,,,"Address code copied!"
receive_tx_detail_title,Empfangen,,,,Received
transaction_detail_redemption,"(Einlösen) ",,,,(Redemption)
warning_create_wallet_back_up_1,"Wallet-Backup ",,,,"Wallet Backup"
warning_create_wallet_back_up_2,"Erstellen Sie jetzt Ihr Wallet Backup. ",,,,"Create you wallet backup now."
words_not_match_message,"Wörter stimmen nicht überein ",,,,"Words do not match"
tap_here,"Tippen Sie hier! ",,,,"Tap here"
change_to_mnemonic_toast_notification,"Speichern erfolgreich!",,,,"Saved successfully!"
current_pin_title,"Geben Sie hier Ihren aktuellen PIN ein",,,,"Enter your current PIN"
new_pin_title,"Geben Sie einen neuen PIN ein",,,,"Enter new PIN"
set_pin,"PIN einrichten",,,,"Set PIN"
skip,Überspringen,,,,Skip
change_pin,"PIN ändern",,,,"Change PIN"
generate_randomness,"Zufällig (Entropie)",,,,"Generating random numbers for wallet security"
next,Weiter,,,,Next
backup_phrase,Passphrase,,,,"Backup Phrase"
copy_phrase,"Code kopieren",,,,"Copy Phrase"
backup_phrase_description,"Hier ist Ihre Backup-Phrase",,,,"Here is your backup phrase"
public_key,Public-Key,,,,"Public Key"
public_key_description,"Wird intern von der App verwendet, um Transaktionen zu generieren und digitale Signaturen für die Authentifizierung zu erzeugen.",,,,"Used internally by the app to generate transactions and to generate digital signatures for the purposes of authentication."
private_key,Private-Key,,,,"Private Key"
private_key_description,"Wird von der App verwendet, um Tokens in Ihrem Wallet zu sichern oder zu versenden. Bewahre Sie es sorgfältig auf!",,,,"Used internally by the app to secure and spend DHP tokens in your wallet. It should be carefully guarded."
wallet_address_description,"Ihre Wallet wurde erstellt und die Adresse unten angezeigt. Es identifiziert Ihr Wallet und DHP werden an diese Adresse gesendet.",,,,"Your wallet has been created. Your wallet address is shown below. It is used to identify your wallet. Tokens you receive will be sent to this address."
wallet_address,Wallet-Adresse,,,,"Wallet Address"
verify_phone_description,"Zur Bestätigung der Telefonnummer senden wir Ihnen den Zugangscode per SMS.",,,,"We will send you an access code via SMS for mobile number verification."
your_mobile_number,"Ihre Mobil-Nummer",,,,"Your Mobile Number"
resend_sms_code,"Zugangscode erneut senden",,,,"Resend SMS Code"
get_sms_code,"Zugangscode senden",,,,"Get SMS Code"
verify_code_description,"Geben Sie Ihren Bestätigungscode ein",,,,"Enter your verification code below."
verify_code,"Überprüfen Sie den Code",,,,"Verify Code"
enter_sms_code,"Geben Sie den SMS-Code ein",,,,"Enter SMS Code"
set_pin_again_title,"Geben Sie Ihren PIN erneut ein",,,,"Enter your PIN again"
title_home,Home,,,,Home
invalid_phone_number,"Ungültige Telefonnummer",,,,"Invalid phone number"
invalid_code,"Ungültiger Code",,,,"Invalid code"
verify_phone_with_sms,"Bestätigung Smartphones via SMS",,,,"Verify phone with SMS"
account_wallet_name,DHP,,,,DHP
verify_phone_number,"Telefonnummer bestätigen",,,,"Verify Phone Number"
create_wallet_title_1,"Wallet erstellen",,,,"Create Wallet "
recover_wallet_title,"Wallet wiederherstellen",,,,"Recover Wallet"
set_app_pin_title,"Legen Sie den PIN für die App fest",,,,"Set your App PIN"
errormessage_confirm_pin_wrong,"PIN stimmt nicht überein!",,,,"Confirmation PIN does not match"
errormessage_current_pin_wrong,"Der aktuelle PIN ist falsch!",,,,"Current PIN incorrect"
errormessage_login_fail,"Falscher PIN! Bitte erneut versuchen.",,,,"Incorrect PIN. Please try again."
successmessage_change_pin_success,"PIN erfolgreich geändert",,,,"PIN change successful!"
successmessage_set_pin_success,"Setzen des PIN erfolgreich!",,,,"PIN setup successful!"
successmessage_save_basic_health_data_success,"Gesundheitsinformationen erfolgreich gespeichert!",,,,"Saved basic health data successfully!"
bottom_navigation_inbox,Inbox,,,,Inbox
bottom_navigation_queries,Anfragen,,,,Queries
bottom_navigation_health_data,Gesundheitsdaten,,,,"Health Data"
bottom_navigation_wallet,Wallet,,,,Wallet
current_balance,"Aktueller Kontostand",,,,"Current Balance"
show_private_key,"Private-Key anzeigen",,,,"Show Private key"
change_app_pin,"Ändern Sie Ihren PIN",,,,"Change app PIN"
wallet_settings,Wallet-Einstellungen,,,,"Wallet settings"
male,Männlich,,,,Male
female,Weiblich,,,,Female
month_of_birth,Geburtsmonat,,,,"Month of Birth"
year_of_birth,Geburtsjahr,,,,"Year of Birth"
height,Körpergrösse,,,,Height
weight,Gewicht,,,,Weight
geographical_region,"Geographische Region",,,,"Geographical Region"
physical_activity,"Körperliche Aktivität",,,,"Physical activity"
smoking,Raucher,,,,Smoking
balance,Guthaben,,,,Balance
copy_address,"Adresse kopieren",,,,"Copy Address"
amount,Menge,,,,Amount
send_token,"Tokens senden",,,,"Send DHP"
send_tokens_successfully,"DHP erfolgreich gesendet",,,,"Sent DHP successfully"
confirm,Bestätigen,,,,Confirm
send,Senden,,,,Send
no,Nr.,,,,No
all_tab_title,Alle,,,,All
all,Alle,,,,All
accepted,Akzeptiert,,,,Accepted
deny,Ablehnen,,,,Deny
agree_and_continue,"Teilnahme bestätigen",,,,"Agree and Continue"
forgot_pin,"PIN vergessen? ",,,,"Forgot your PIN? "
close_forgot_pin,Schliessen,,,,Close
forgot_pin_description,"Bitte installieren Sie die Anwendung erneut. Verwenden Sie Ihre Passphrase um Ihr Wallet wiederherzustellen.",,,,"Please reset or re-install this app and use backup phrase to recover wallet"
other,Andere,,,,Other
consent_content,"Vielen Dank für Ihre Bereitschaft, an der folgenden Anfrage teilzunehmen. Sie sind damit einverstanden, dass die angeforderten Daten zur Verfügung zu stellen und Ihre personenbezogenen Daten gemäss der geltenden Datenschutzerklärung verarbeitet werden.",,,,"Thank you for your willingness to participate in the following data request. By clicking Agree, you consent that you are willing to provide the requested data and agree to your personal data being processed as described in the applicable privacy statement."
consent_title,"Wir danken für Ihre Teilnahme",,,,"Your participation is appreciated"
survey_information,Disclaimer,,,,"Data Disclaimer"
copy_success,Kopiert,,,,Copied
days_ago,Tage,,,," days ago"
hours_ago,Stunden,,,," hours ago"
minutes_ago,Minuten,,,," minutes ago"
seconds_ago,Sekunden,,,," seconds ago"
query_from,von,,,,"from "
query_to,an,,,,"to "
language_title,Englisch,,,,English
receive,Erhalten,,,,Receive
history,Übersicht,,,,History
scan_qr_code,"QR Code scannen",,,,"Scan QR code"
qr_code,"QR Code",,,,"QR code"
scan_qr_code_title,"QR-Code scannen",,,,"Scan QR code"
message_read_QR_code,"QR-Code erfolgreich eingelesen",,,,"Read address successfully"
scan_fail_title,"Scan fehlgeschlagen",,,,"Scan failed"
data_not_recognised_message,"Daten nicht erkannt",,,,"Data not recognized"
scan_fail_button,OK,,,,OK
permission_denied,"Zugriff verweigert",,,,Permission_denied
expiration_day_title,"Verfügbar bis",,,,"Available until"
amount_offer,Belohnung,,,,"Incentive offered"
offers_card_title,Angebote,,,,Offers
agreement_title,"Einverständnis des Nutzers",,,,"User Agreement"
Thank_you_description,"Vielen Dank, dass Sie die Centiva App der HIT Stiftung heruntergeladen haben.",,,,"Thank you for downloading the Centiva app from HIT Foundation."
read_term_berfore_proceeding,"Bitte lesen Sie die Zusammenfassung der Allgemeinen Geschäftsbedingungen, bevor Sie fortfahren:",,,,"Please read this summary of our terms of service before proceeding:"
first_agreement,"Centiva ist KEINE medizinische Anwendung und kann eine ärztliche Beratung nicht ersetzen. Falls Sie medizinische Hilfe benötigen, wenden Sie sich bitte an einen Arzt oder eine medizinische Versorgungseinrichtung.",,,,"Centiva is NOT a medical app and makes no claims to offer medical advice. If you are in need of medical care, please contact a medical professional or the emergency services."
second_agreement,"Sie müssen mindestens 13 Jahre alt sein, um ein Konto zu eröffnen.",,,,"You must be at least 13 years old or above to activate a Centiva account."
third_agreement,"Weder erhält oder speichert HIT Stiftung Ihre Daten, noch gibt sie diese an Dritte weiter.",,,,"Centiva does not receive, store, or share with any third party your health information."
fourth_agreement,"Ihre Gesundheits- und demographischen Daten, sowie die Wallet-Daten werden mit Ihrem PIN verschlüsselt und im lokalen Speicher Ihres Mobilgeräts gespeichert. Wenn Sie über die Centiva App an einer Datenabfrage durch eine externe Organisation teilnehmen, werden die Daten direkt von Ihrem Gerät an diese übertragen.",,,,"Your basic health and demographic data, as well as wallet data, is encrypted with your PIN and stored on your mobile device’s local storage. Any data you provide to seekers of your health information is transmitted directly from your device to the seeker."
fifth_agreement,"Sie allein sind verantwortlich für die Aufbewahrung Ihrer Daten, einschließlich Ihres PIN und der Sicherungskopie des Wallets!",,,,"You are solely responsible for the safekeeping of your information, including your PIN and wallet backups."
sixth_agreement,"Wenn Sie Daten über unsere Plattform einem Informationssuchenden zur Verfügung stellen, gelten dessen Datenschutzrichtlinien sowie Nutzungsbedingungen und die von ihm angebotene Gegenleistung.",,,,"When you provide data requested by a seeker through this platform, the seeker’s privacy policies and terms of service are applicable to provided data as well as the incentives offered by the seeker."
agree_description,"Mit \"Zustimmen\" erklären Sie sich mit unseren Nutzungsbedingungen und der Datenschutzerklärung (siehe unten) einverstanden. Sollten Sie nicht damit einverstanden sein, können Sie leider nicht auf unsere Dienstleistung zugreifen.",,,,"By choosing ""Agree"" below, you agree to be bound by our terms of use and privacy policy (linked below). These Terms of Use affect your legal rights and obligations. If you do not agree to be bound by all of these Terms of Use, do not access or use the Service."
term_of_use,Nutzungsbedingungen,,,,"Terms of Use"
privacy_policy,Datenschutzbestimmungen,,,,"Privacy policy"
and_of_term_policy,Datenschutzerklärung,,,,And
decline_and_abort_registration,"Registrierung ablehnen und abbrechen",,,,Decline
title_decline_and_abort_registration,"Um Fortzufahren, müssen Sie den Allgemeinen Geschäftsbedingungen und der Datenschutzerklärung zustimmen.",,,,"You must agree the Terms and Pivacy Policy to continue"
message_decline_and_abort_resgistration,"Möchten Sie die Anwendung wirklich beenden?",,,,"Do you really want to exit the application?"
not_enough_xem_warning,"Ungenügendes XEM Guthaben.",,,,"Your wallet does not have enough XEM to complete this transaction."
please_get_more_xem,"XEM erweben an",,,,"Please get more XEM "
here,hier,,,,here
message_permission_accept,"Der Zugang wird nur für die Registrierung bei Centiva verwendet. Die App tätigt oder empfängt keine Telefonate.",,,,"This access will be used only to secure your registration on the Centiva platform. The app does not make or receive any telephone calls."
language,Sprache:,,,,Language:
app_settings,"App Einstellungen",,,,"App Settings"
app_language,"App Sprache",,,,"App language"
only_show_query_in_language,"Zeige nur Anfragen in",,,,"Only show queries in"
faq,"Häufig gestellte Fragen",,,,FAQ
feedback_to_email,"Feedback senden ",,,,"Send feedback"
SENT,Gesendet,,,,sent
MESSAGE,Nachricht,,,,message
TIME_TRANSACTION_DETAIL,Zeit,,,,Time
MAIL_SHARE_ERROR_TITLE,"Keine Email-Konto",,,,"No Email Account Configured"
MAIL_SHARE_ERROR_SUB_TITLE,"Bitte geben Sie ein Email-Konto an, damit wir Ihnen eine Email senden können.",,,,"Please set up an email account in order to send email."
SHARE_OPTION_TITLE,"Wählen Sie eine App.",,,,"Pick an app"
STORE_BACKUP_PHRASE_BUTTON,"Backup-Phrase speichern.",,,,"Store Backup Phrase"
PASTE_BACKUP_PHRASE,"Backup-Phrase kopieren.",,,,"Paste Backup Phrase"
REFERRAL_CARD_TITLE,"Laden Sie einen Kontakt ein.",,,,"Invite a Contact"
REFERRAL_DESCRIPTION,"Laden Sie einen Kontakt zu CENTIVA ein und erhalten Sie",,,,"Invite a contact to Centiva"
REFERRAL_SUBDESCRIPTION,"wenn Ihr Kontakt seine Registrierung abgeschlossen hat.",,,,"and help grow the platform"
COPY_BUTTON,"Empfehlungslink kopieren.",,,,"Copy Referral Link"
QR_CODE_SHARE_DESCRIPTION,"Oder lassen Sie Ihren Freund diesen QR-Code scannen.",,,,"Or have your contact scan this QR code."
TOKEN_DESCRIPTION,"DHP Token",,,,Tokens
REDEEM_POPUP_TITLE,Einlösen,,,,Redemption
REDEEM_POPUP_MESSAGE,"Das Angebot wird gesendet an ",,,,"The coupon will be sent to the "
REDEEM_SUCCESSFUL_MESSAGE,"Einlösung erfolgreich. Sie werden in Kürze weitere Informationen erhalten.",,,,"Redemption successful. You will receive claim information shortly."
REDEEM_HIGLIGHTS,Höhepunkte,,,,Highlights
REDEEM_TOKEN_REQUIRED_DESCRIPTION,"DHP nötig",,,,"DHP Tokens required"
REDEEM_QUANTITY_DESCRIPTION,"Sie erhalten",,,,"You get"
REDEEM_BUTTON,"Jetzt einlösen",,,,"Redeem Now"
INFO,Info,,,,Info
USER_INFO_REDEMPTION,Einlösen,,,,Redemption
USER_INFO_REDEMPTION_BUTTON,Einlösen,,,,Redeem
AVAILABLE_QUERIES_HOME_PAGE,Verfügbar,,,,Available
COPY_CONFIRMATION_DETAIL,"Bestätigungsdetails kopieren",,,,"Copy Confirmation Details"
COPYRIGHT,"Copyright &#9400; HIT Stiftung 2020",,,,"Copyright &#9400; HIT Foundation 2020"
APP_VERSION,App-Version,,,,"App version"
DEVICE_MODEL,Gerätemodell,,,,"Device model"
OS_VERSION,"OS Version",,,,"OS version"
MANUFACTURER,Hersteller,,,,Manufacturer
COPY,Kopieren,,,,Copy
ABOUT,Über,,,,About
OK,Ok,,,,Ok
REENTER_HEALTH_DATA_TITLE,"Keine Gesundheitsdaten eingegeben | vorhanden.",,,,"Health data is empty"
REENTER_HEALTH_DATA_MESSAGE,"Gesundheitsdaten konnten nach dem App-Update nicht gelesen werden, bitte erneut eingeben. ",,,,"Health data could not be read following app update, please reenter"
VERIFY_PHONE_AGAIN_TITLE,"Überprüfung per SMS nicht erfolgreich",,,,"SMS verification failed"
VERIFY_PHONE_AGAIN_MESSAGE,"Erneut bestätigen um Registrierung abzuschliessen",,,,"To complete your registration, please verify again"
PLEASE_GET_MORE_HIT,"Sie benötigen mehr DHP",,,,"Please get more DHP"
GET_SMS_CODE_FAIL_TITLE,"SMS-Code konnte nicht empfangen werden",,,,"Failed to receive SMS code"
